Title,Standfirst
"Spotify Wrapped is creepy, meaningless – and shows just how much data big tech has on you","The annual summary of your listening habits has become a phenomenon – but marketing wheeze aside, Wrapped doesn’t reflect what we truly love"
Sarah Beeny vs Cancer review – crucial and almost unbearably candid,"Beeny lets us follow her on the whole ‘rollercoaster’ of cancer treatment, urging us to be fearless – without ever shying away from what she fears the most"
London school drops ‘Sir’ and ‘Miss’ honorifics to fight cultural misogyny,Principal of high-performing sixth form said two forms are ‘deeply unequal’ and diminish women
Hamilton review – revolutionary musical hits the road with a blazing new cast,"Palace theatre, ManchesterThe new tour of Lin-Manuel Miranda’s blockbuster is delivered by an outstanding ensemble"
Seth Meyers on Republicans: ‘I’ve seen more organized groups of seagulls fighting over a potato chip’,"Late-night hosts discuss GOP dysfunction in a speaker-less House, Trump’s new gag order, and Taylor Swift’s relationship with NFL star Travis Kelce"
New Zealand 96-17 Italy: Rugby World Cup 2023 – as it happened,New Zealand All Blacks send loud warning shot to World Cup rivals with 14-try demolition of hapless Italy.
Stephen Colbert on Jim Jordan’s failed speaker bid: ‘An historic humiliation’,"Late-night hosts discuss Jim Jordan’s failed bid for speaker of the House, Trump’s lawyers turning on him and Taylor Swift’s romance with Travis Kelce"
Trump’s return to Twitter solidifies a sharp right turn for Musk’s platform,"By posting his mugshot, Trump joins Ron DeSantis and Marjorie Taylor Greene in transforming site now known as X"
The 20 greatest concert films – ranked!,"As Taylor Swift’s Eras tour reaches cinemas, with Beyoncé’s Renaissance following soon, we pick the films that best converted the live experience to the screen"
Two dead after explosions on Kerch Bridge linking Crimea and Russia | First Thing,"Road and rail link is only direct overland route between Russia and occupied Crimea. Plus, how we got addicted to weather apps"
Why was Nicola Sturgeon arrested and what does it mean for Scottish independence?,"With support for the SNP falling since the former first minister’s swift political demise, another independence referendum looks further away than ever"
Australian bird of the year 2023: final top 10 ranking and vote count in the Guardian / BirdLife Australia #birdoftheyear poll,"From little penguins to (very big) cassowaries, every bird has its fans. See where the votes landed in the 2023 Guardian/BirdLife Australia pollSwift parrot named 2023 Australian bird of the year winnerFollow all the reaction live in our blogDownload your free Australian birds poster as a JPEG or PDF file"
"CMAT review – every song is like an encore in this fizzing, sad-happy show","Leeds StylusTouring her masterly new album, one of the best of this year, Irish country-pop auteur Ciara Mary-Alice Thompson brings unruly energy, wit and guitar heroics to her searing tales of heartbreak"
Quiz Lady review – Sandra Oh and Awkwafina can’t lift uneven comedy,A ho-hum road trip comedy pairs the actors as childlike sisters with only all-too-brief moments of hilarity on the way
Post-pandemic ‘fear of missing out’ sends UK gig prices soaring,"From Beyoncé to Harry Styles, demand for big-name concerts is booming – but some festivals and small venues are struggling"
Air fares likely to stay stubbornly high as travel-hungry Australians’ tastes change,"Higher prices see the phenomenon of ‘revenge travel’ turn into a willingness to spend more on bigger trips, industry watchers sayGet ourmorning and afternoon news emails,free appordaily news podcast"
‘He would turn in his grave’: the dead whose assets went to King Charles’s estate,"For those who die with no will or heirs in parts of England, the king’s estate claims their assets. Here are some of their storiesRevealed: King secretly profiting from assets of dead citizensHow bona vacantia is used to collect dead people’s money"
Mariah Carey sued for copyright infringement over All I Want for Christmas Is You,"Carey faces second lawsuit from songwriter Andy Stone over huge holiday hit, after he filed to dismiss his own 2022 claim"
The Chicks review – barn-burning virtuosity and cut-glass vocals,Cardiff CastleRain no match for the pop-country icons as the Texans dazzle crowds with tracks from their comeback album and old favourites
Northern Ballet: Generations; Maud Le Pladec: Twenty-Seven Perspectives – review ,"Linbury Studio, Royal Opera House; Sadler’s Wells, LondonNorthern Ballet’s triple bill demonstrates the vital link between live music and action. Plus, the UK premiere of a new spin on Schubert’s Unfinished Symphony"
Sin-bins to be trialled at higher levels of football after grassroots success,Measure aimed at helping to protect referees from abuseIfab also consider attempts to improve VAR system
"US vinyl sales up 21.7% for first half of 2023, report finds",Vinyl boom continues with another major leap and Taylor Swift’s Midnights leading the pack
One-man avalanche Myles Garrett should be a rare NFL defensive MVP,Quarterbacks nearly always take home the award. But the Cleveland Browns star has made his team’s defense into a terrifying force
"Morning Mail: Titan sub search focuses on underwater ‘noises’, Islanders fight gas plan, house prices to rise","Want to get this in your inbox every weekday?Sign up for the Morning Mail here, and finish your day withour Afternoon Update newsletter"
Fleetwood philosophical after Taylor’s 72ft putt denies him Canadian Open title,Nick Taylor is first Canadian to win home open in 69 yearsFleetwood looks forward to this week’s US Open
Australian bird of the year 2023: nominate your favourite for the #BirdOfTheYear shortlist,"Who will take the crown this year? That will be for you to decideGet ourmorning and afternoon news emails,free appordaily news podcast"
Cut out the middlemouse: how Disney pop stars took control of their careers,"With Disney-championed stars including Olivia Rodrigo and Sabrina Carpenter moving on from the company’s own record label, it seems the house of mouse’s power is waning"
Elizabeth: A Life Through the Lens review – the late queen’s reign looks like one long marketing campaign,This swift documentary looks at the use of photography to shape the previous UK monarch’s image. It’s a fascinating account of her reliance on imagery
"Trench coats on, puffer jackets out: autumn fashion blows in",Stores are struggling to keep up as the leather longline look takes centre-stage
‘Don’t stop us now’: tribute acts protest against Facebook ban,A Freddie Mercury act is among the performers protesting as a Meta ban on impersonators threatens their careers
The Republican obsession with Hunter Biden has reached a new low | Arwa Mahdawi,Marjorie Taylor Greene’s tawdry act in Congress may have broken federal laws – fitting for a truly bankrupt individual
"Red, White & Royal Blue review – enemies become lovers in super-slick queer romance",Taylor Zakhar Perez and Nicholas Galitzine unleash a dual charisma assault in this micro-managed adaptation of Casey McQuiston’s YA bestseller
Edward Gair obituary,
"‘We’re like a frat house’: meet Gob Nation, south London’s oddball music collective","Living in an old care home, recording in a disused police station and constantly playing in each other’s bands, could the likes of the Tubs, Ex-Vöid and Suep have stumbled upon a new model for struggling musicians?"
‘Evil people smugglers’ are easy to blame for migrant boat tragedies. Here’s the truth | Diane Taylor,"With a disaster off Greece in the headlines, governments are keen to repeat a convenient myth rather than face scrutiny themselves"
"Tucker Carlson fired by Fox News for getting ‘too big for his boots’, book says","Network of Lies by Brian Stelter, excerpted in Vanity Fair, says firing was inevitable after he alienated large parts of network"
British Vogue editor-in-chief Edward Enninful says March issue will be his last,Enninful makes announcement almost two months after saying he would step down from role he has held since 2017How Edward Enninful’s Vogue changed British culture
Twilight Slayance: Kristen Stewart’s queer ghost-hunting show is a scream,"The actor has produced and narrated a Queer Eye spin with a supernatural element, a perfectly silly Halloween treat"
"Murray-Darling Basin plan: more money or time needed to complete water buybacks, experts say",Labor will have to show that recovering water does not cause any negative social or economic issues in regional communitiesSign up for the Rural Network email newsletterJoin the Rural Network group on Facebook to be part of the community
Bonnie Raitt review – a blues fireball in full bloom,"London PalladiumWith typically charismatic fervour and to a star-studded audience, the master of heartbreak brilliantly honours her singular path through modern music"
A 29-year wait to end segregated schooling? Australian kids with disability deserve better | Carl Thompson,My parents had to choose between prioritising my education or me getting adequate support. It wasn’t an easy decision
"How we gave a musical, modernist touch to our Victorian Merseyside semi",This home has a hand-crafted kitchen at its heart - and is filled with classic British furniture brands
Abortion providers brace themselves ahead of Ohio vote: ‘It’s just terrifying’,"If Issue 1 fails, supporters of the proposal believe the state’s supreme court will reinstate a six-week abortion ban"
Donald Trump was allegedly creepy about Ivanka – but will his fans care? | Arwa Mahdawi,"A new book by Miles Taylor, an ex-Trump official, claims the former president repeatedly sexualized his daughter"
"NSW MP’s future with Liberals will depend on investigation into alleged harassment and texts, leader says","Mark Speakman doesn’t want to ‘compromise the integrity’ of probe into alleged texts sent by Taylor MartinFollow our Australia news live blog for the latest updatesGet ourmorning and afternoon news emails,free appordaily news podcast"
Hiss Golden Messenger: Jump for Joy review – a triumph of wide-eyed wonder,"The North Carolina band’s latest album is their best yet – a warm distillation of country-soul and folk, and every song tells a story"
Women’s Super League 2023-24 previews No 8: Liverpool,"The team and manager, Matt Beard, are targeting a top-five finish after moving into improved surroundings at Melwood"
Friday briefing: Double defeat for Tories as Labour takes two seats in byelection victory,"In today’s newsletter: The Conservative party suffered a crushing defeat as Labour wins Tamworth and Mid Bedfordshire seats in historic byelectionsSign up here for our daily newsletter, First Edition"
Indie companies worry as major labels intervene in vinyl and CD distribution,Independent labels say their acts have missed out on chart positions because of Utopia’s distribution problems and now there are concerns about Sony and Universal backing the company
"Wilderness review – Jenna Coleman craves murder in a fun, fun, fun revenge thriller",The actor is as terrific as ever in this twisty treat of a series about a wife taking revenge on her cheating husband – during the trip of a lifetime
Can anyone still make it as a country singer in Nashville? ,The City of Music has become unaffordable for musicians – and a magnet for partiers. Streaming services have only made things harder
Wiegman’s England could harm World Cup hopes by training and flying so early | Louise Taylor,"Squad gather on Monday then leave for Australia 17 days before their first game, and taking remote bases there may also not be a benefit"
Female musicians defend Emily Eavis after row over Glastonbury gender split,"Artists including Sharleen Spiteri of Texas back the festival’s co-organiser, who was criticised over booking all-male headliners"
Mitski: The Land Is Inhospitable and So Are We review – a songwriter with stunning melodic power,"(Dead Oceans)Playing country-inflected orchestral pop with sardonic wit and deep feeling, Mitski underlines why she’s one of the very best singer-songwriters working today"
"Manchester City 2-0 Nottingham Forest, Luton 1-1 Wolves: clockwatch – as it happened","Luton finally get a point on the board, Forest are beaten by 10-man Manchester City and Crystal Palace share the points with FulhamEuropean round-up: Harry Kane scores his first Bayern hat-trick"
Labour must stand up for moral principles | Letter,"There are implicit lessons for Keir Starmer and the party in Joe Biden’s warnings to Israel, writesWarren Chernaik"
"Trump adviser suggested blowing up migrants’ boats with drones, book says",Book by Miles Taylor says Stephen Miller made argument people onboard ship heading to US were not protected by constitution
Experience: I suddenly lost my hearing,I was expecting to miss music more – but the songs are still in my head
Bird of the year 2023: six underbirds that deserve your vote,Some of Australia’s most recognised feathered denizens have been flying under the popularity radar for far too longThis year’s Guardian/BirdLife Australia bird of the year poll runs from 25 September to 6 October.Nominate your favourite for the shortlist
At least one dead in light plane crash; state and territory leaders back the voice – as it happened,"This blog is now closedKey voice battleground South Australia is ‘leaning to no’, campaigners saySwift parrot named 2023 Australian bird of the year winnerGet ourmorning and afternoon news emails,free appordaily news podcast"
Republican praises January 6 attacker’s ‘good faith and core principles’,"Louisiana congressman Clay Higgins asks judge to show leniency to Ryan Nichols, charged with assaulting police at US Capitol"
Armed man wanted for role in Capitol attack arrested near Obama’s house,Taylor Taranto found with materials to create an explosive device a few blocks away from former president’s Washington DC home
Forget Nigel Farage and Coutts – banks have been locking ordinary people out of accounts for years | Amy Taylor,"This is a rich person’s row. But as a debt adviser, I’ve seen clients’ lives upended when they are denied access to basic accounts"
The 2023 Australian bird of the year is … ,"… to be announced at 12.30pm AEDT. Followour live blogfrom 11.30am for the red carpet, emotional speeches and all the reactionFollow the result in our live blogFind all ourbird of the year contentDownload your Australian birds poster as a JPEG or PDF file"
Our leaders failed us on the climate emergency | Letters,"Diana Francis, Anne TaylorandDr Barrie Daleon why humanity is still failing to act as the planet burns"
"‘It’s heavy stuff out at sea, so I paint to stay level’: the lifeboatman taking the UK art world by storm",Mark Taylor is used to steering through dangerous seas – now he will have to navigate the London art market
‘Raring to take on this challenge’: musicians Jake Shears and Self Esteem to star in Cabaret,The Scissor Sisters singer will play the Emcee while Self Esteem will make her theatrical debut as Sally Bowles in Rebecca Frecknall’s Olivier-winning musical
The threat from Russia is not going away. Europe has to get serious about its own defence | Paul Taylor,"Guns or butter? To build up the military capacity vital for self-protection, European nations will have to make painful choices"
NSW soon to decide on Eraring extension but former treasurer says it could cost billions,"Matt Kean says previous Coalition government would have had to pay Origin Energy up to $3bn to keep half coal plant open for two yearsFollow our Australia news live blog for latest updatesGet ourmorning and afternoon news emails,free appordaily news podcast"
The week in theatre: The Effect; Makeshifts and Realities – reviews,"Lyttelton, London; Finborough, LondonJamie Lloyd galvanises Lucy Prebble’s drama about two patients who on a drug trial, while a trilogy of pre-first world war playlets captures a forgotten world"
Cleopatra at 60: the expensive epic that almost tanked a studio,"The notoriously overpriced biopic, starring Elizabeth Taylor and Richard Burton, carried an infamous legacy but is it any good?"
Finally Dawn review – Lily James shines in exuberant romantic melodrama,Venice film festival:James is the Liz Taylor-ish diva claiming a young star-struck girl as her new best friend in Saverio Constanzo’s tale set in 1950s Rome
"Boygenius review – Phoebe Bridgers, Julien Baker and Lucy Dacus meet hysteria with humour","Gunnersbury Park, LondonThe US supergroup have legions of fans swooning – literally – as they crown a summer of female cultural-dominance with an epic outdoor show"
The Stirrings: A Memoir in Northern Time review – Sheffield in the shadow of Peter Sutcliffe,Catherine Taylor’s account of her youth – haunted by the Yorkshire Ripper case and isolated by political activism – is a lyrical study of how place shapes character
The women who made painful choices challenge Texas’s severe abortion ban ,The state supreme court will consider arguments from 20 women who say they were denied medically necessary abortions
The Box of Delights review – the RSC makes merry with Masefield’s fantasy,"Royal Shakespeare theatre, Stratford-upon-AvonThis is a well-crafted, brilliantly acted version of John Masefield’s novel about an orphan who travels through time"
"New horizons: music, art, books and more to get out of a rut","From hit novels by late bloomers to artists turned chess masters, our critics select culture that revels in reinvention"
‘We are so excited’: England’s travelling fans hail team spirit and the hosts’ hospitality,"Some have crossed land and sea to be there while others already live in Australia, but all are united in their support for a team on the verge of making history"
"Red, White and Royal Blue review – bland gay romance opts for beige",Amazon’s adaptation of the hit romance novel about a prince and the US president’s son is well-intentioned yet listless
"Foo Fighters: But Here We Are review – grieving, route-one stadium rock",(Sony)Dave Grohl’s affecting lyrics are the main draw on his band’s first album since drummer Taylor Hawkins’s death
How Oppenheimer became the unlikeliest blockbuster of the year,"Christopher Nolan’s three-hour historical drama just sped past the $900m mark, becoming the biggest biopic ever, but how did he do it?"
‘It’s bleak’: string of family firms shut in Rishi Sunak’s Yorkshire seat,Four businesses in market town of Richmond announce closure in past week as cost of living crisis bites
Erik ten Hag hits out at officials as Rice savours ‘must-win’ Arsenal triumph,Manager claims key decisions went against Manchester United£105m midfielder happy to keep Manchester City in sight
Labour must pay attention to class politics | Letters,"In a society where work no longer pays the bills and social mobility has slowed, class is not something you can leave behind, writesNeil Schofield-Hughes. Plus letters fromMartyn TaylorandLesley Moore"
Gladys Berejiklian findings: Icac delay to be investigated as NSW Liberals refuse to expel former premier,"Exclusive: Inspector overseeing corruption watchdog to conduct inquiry into its delay in making findings against former premierFollow our Australia news live blog for the latest updatesGet ourmorning and afternoon news emails,free appordaily news podcast"
The Effect review – Lucy Prebble’s intense and intoxicating encounter,"Lyttelton theatre, LondonA love affair between participants in a drug trial is staged by Jamie Lloyd with a stellar cast including Paapa Essiedu and Taylor Russell"
Robodebt: what the Centrelink worker who raised the alarm wants from the royal commission,"With the inquiry findings due, Colleen Taylor is hoping for permanent reform to prevent such a shameful episode happening againGet ourmorning and afternoon news emails,free appordaily news podcast"
From the Killers to Kiss: grand final entertainment will forever be hit and miss | Geoff Lemon,"It’s not the Super Bowl but it’s still chastening that the best we can get is often the most washed-up, least imaginative choicesAFL grand final 2023 live: Collingwood Magpies v Brisbane Lions – live"
Rise of the tourdrobe: how Beyoncé’s gigs are the new designer catwalk,"Fans aren’t just going to the tour to listen to the music, they’re also going for the outfits"
Morgan Wallen: the record-breaking country star dominating America,"While Taylor Swift’s Eras tour might be nabbing more headlines, the hugely successful and controversial Tennessee singer’s tour has been equally major"
How a 24-hour drag show predicted the past seven years in America,"Just before Trump’s election, Taylor Mac staged a spectacular queer history of the US that was mysteriously prophetic about the culture wars that would follow"
Lizzo at Glastonbury review – life-affirmation 101,"Pyramid stageJoyful, supremely expressive performer who kinetically embodies every second of her ebullient show is hobbled by painfully literal lyrics"
Rishi Sunak used helicopter for trip from London to Norwich ,PM has gained reputation for fondness for using helicopters to travel short distances
"Media must not confuse voters about Indigenous support for voice, Anthony Albanese says","PM reels off names of prominent yes campaigners backing ‘a moment of national unity’Follow our Australia news live blog for the latest updatesGet ourmorning and afternoon news emails,free appordaily news podcast"
"The Spin | South African cricket’s Faustian pact keeps the lights on, but at a price",The SA20 franchise tournament is taking precedence over the Test team and a rich red-ball history is now in danger
"Morning Mail: referendum on the road, Qatar legal letters, NZ crush England in WC opener","Want to get this in your inbox every weekday?Sign up for the Morning Mail here, and finish your day withour Afternoon Update newsletter"
Djokovic cruises to win over Fritz for record semi-final run at US Open,"Djokovic eases to 6-1, 6-4, 6-4 win over American No 9 seedReaches men’s record 47th career grand slam semi-final"
Five Nights at Freddy’s to Garth Marenghi: a complete guide to this week’s entertainment,"No time for trick or treat? Try pizza with a side order of murder in Josh Hutcherson’s new film, or go into your dark place in the company of Matthew Holness’s awful horror author"
"US Open 2023: Djokovic beats Fritz, Gauff into semi-finals for first time – as it happened","Coco Gauff beat Jelena Ostapenko to reach her first US Open semi, then Novak Djokovic saw off Taylor Fritz to reach the last four of a Grand Slam for a record 47th time"
Cincinnati Bengals’ Joe Burrow could miss ‘several weeks’ with calf strain,"Burrow expected to miss ‘several weeks’, Bengals coach saysStar quarterback was carted off practice field on Thursday"
The new kitchen gardens: meet the UK chefs and restaurants growing their own,"From rooftops in the middle of cities to the grounds of top-class restaurants, chefs are taking back control of their ingredients‘He does it with love’: the 32-year-old chef taking over from Raymond Blanc at Le Manoir"
"Celebrities are smoking again: ‘Things are grungier, edgier, sleazier’","Not long ago, stars showed off their green juice and yoga mats. Now they’re showing off an old-fashioned vice"
"Met officer who called victim ‘hot’ spoke inappropriately about colleagues, court told","Further allegations emerge against DCI James Mason, who kept his job after being found guilty of misconduct"
Quiet luxury: how to shop pre-loved – and land one of fashion’s favourite looks,"Trishna Goklani’s pre-loved pieces make the ‘quiet luxury’ aesthetic more attainable, sustainable and interesting. She talks to Emma Jane Palin about the thrill of shopping secondhand"
Aria awards 2023: hip-hop artist Genesis Owusu leads nominations,"Rapper scoops seven nominations for Australia’s premier music prize, while Dom Dolla, Troye Sivan, G Flip, Budjerah and DMA’s receive multiple nodsGet our weekend culture and lifestyle email"
Jordan Nobbs: ‘I was in a dark place but now I’m waking with the butterfly feeling’,England’s playmaker is relishing her opportunity on the World Cup stage after the misery of injuries
Texas professor suspended hours after criticizing lieutenant governor in lecture,Joy Alonzo accused by student of disparaging Dan Patrick in lecture on opioid crisis at Texas A&M University
"Modern culture has ripped away girls’ childhood, taking their joy with it | Elle Hunt","From the climate crisis to economic decline, the period in which this online generation remain blissfully ignorant has shrunk"
Donald Trump pleads not guilty to four charges over efforts to overturn 2020 election,Ex-president arraigned on four felony counts related to ‘criminal scheme’ to remain in office as Trump laments ‘sad day for America’Key takeaways: four charges and a swift return date
Georgia Stanway: ‘In Germany no one knew me. I could be whoever I wanted to be’,"England midfielder talks about opening up as a person, developing her game at Bayern Munich and her partnership with Keira Walsh"
"Bangs, a bob or boho braids – which of 2023’s biggest hair trends will suit you?",Should you join the mullet revival? When does a rat-tail work? And who can get away with shaving their head? We talk you through all the vital perm-utations
Cleopatra at 60: new book reveals ‘stunning profligacy’ of infamous Hollywood epic,The Observer’s critics saw the ‘ordeal in Rome’ and now a new book reveals why it flopped
Exeter investigate after Ugo Monye reports racist abuse leaving stadium,"Former England winger targeted by ‘the most blatant racism’Exeter, Gloucester and Premiership Rugby express full support"
José Mourinho facing touchline ban after referee abuse draws Uefa charge,Roma manager filmed haranguing Anthony Taylor in car parkClubs also facing multitude of charges after bad-tempered final
Morgan and Rapinoe heading to their fourth World Cup as USA name squad,Defending champions confirm roster for Australia and NZUncapped Savannah DeMelo makes cut for tournament
England 1-0 Spain: European Under-21 Championship final – as it happened,James Trafford made an injury-time penalty save to ensure Curtis Jones’s deflected goal was enough to win the trophy
"Rishi Sunak’s Tories are sunk, whatever he does | Letters",Readers respond to an article by the former Conservative minister Justine Greening about the party’s disastrous byelection results
Former Liberal MP denounces radio station after being named as complainant behind harassment allegations,"Lucy Wicks has asked for privacy after Sydney radio station 2GB named her as the person who made a complaint against NSW MP Taylor MartinFollow our Australia news live blog for the latest updatesGet ourmorning and afternoon news emails,free appordaily news podcast"
‘A future worth fighting for’: five health experts on the state of the NHS at 75,"Ideas for improving standards of care include robotics, more time for GP consultations and a tax on salt"
‘Grossly inadequate’: group claiming to be PwC partners ridicule firm’s response to tax scandal,"Anonymous letter demands more transparency and accountability from PwC in AustraliaFollow our Australia news live blog for the latest updatesGet ourmorning and afternoon news emails,free appordaily news podcast"
"Freak weather soaks Australian outback, dumping months of rain in two days","Downpours from massive cloud band may approach 100mm in some regions, triggering flood watchesFollow our Australia news live blog for the latest updatesGet ourmorning and afternoon news emails,free appordaily news podcast"
KPMG Australia launches internal review after potential conflict-of-interest concerns raised,"The federal government has paid the firm to audit aged care facilities while advising providersFollow our Australia news live blog for the latest updatesGet ourmorning and afternoon news emails,free appordaily news podcast"
Marbles roll badly for Sunak as Starmer outplays him in PMQs | John Crace,"An unprepared PM, fresh from snubbing his Greek counterpart, cut a sorry figure against Labour’s on-form leader"
The great carbon divide: inside the 24 November Guardian Weekly,On the trail of the super-polluters. Plus: rogue royal dramasGet the Guardian Weekly magazine delivered to your home address
How to buy a pre-loved designer watch: expert tips from a collector,"Collector Carl Thompson loves pre-loved watches for their history, personality and accessibility. He shares the quirks of his collection and tips for secondhand sourcing with Emma Jane Palin"
"Rules should be tightened to stop ‘unjustifiably partisan’ grants programs such as car park rorts, review finds","Audit committee calls for crackdown on politicised funding schemes following controversy over urban congestion and building better regions fundsFollow our Australia news live blog for the latest updatesGet ourmorning and afternoon news emails,free appordaily news podcast"
Senior Rebels bikies arrested for allegedly bashing man who waved at motorbike to slow down ,"Victoria police allege club chapter president, serjeant at arms and patched member attacked the victim outside his North Bendigo homeFollow our Australia news live blog for the latest updatesGet ourmorning and afternoon news emails,free appordaily news podcast"
"Young Australians far less likely than parents to shift to right as they age, report finds","Coalition faces uphill battle in future because generation Z are seen sticking with progressive views in later life, thinktank saysFollow our Australia news live blog for the latest updatesGet ourmorning and afternoon news emails,free appordaily news podcast"
Australia risks failing on renewable energy – but two steps could help fix that | Adam Morton,"Relying on Australia’s natural solar and wind advantage won’t be enough to drive the rapid change that’s neededFollow our Australia news live blog for the latest updatesGet ourmorning and afternoon news emails,free appordaily news podcast"
"Australia’s gambling ads ban should be fast-tracked, crossbenchers say","Greens and independents want timeframe shortened while TV and wagering industries call for proposal to be watered downFollow our Australia news live blog for the latest updatesGet ourmorning and afternoon news emails,free appordaily news podcast"
Queensland health boss resigns amid criticism of proposed whistleblower law change,"Shaun Drummond had distanced himself from suggestions people who provide journalists with ‘inappropriate’ information should be penalisedFollow our Australia news live blog for the latest updatesGet ourmorning and afternoon news emails,free appordaily news podcast"
Western Sydney airport flight paths reveal suburbs to face vacuum-level noise 100 times a day by 2040,"Modelling along planned flight paths suggest zones will be subject to noise pollution in excess of 70db, or washing machine-levelFollow our Australia news live blog for the latest updatesGet ourmorning and afternoon news emails,free appordaily news podcast"
Canadian judge rules thumbs-up emoji can represent contract agreement,"A Saskatchewan court rules emoji is just as valid as a signature and orders a farmer to pay $61,442 for unfulfilled contract"
Politicians must be brave on 20mph speed limit | Letters,John Rigbyexplains how a determined York council managed to reduced accidents in the face of driver hostility. Plus letters fromRichard ToonandPeter Taylor
"Best podcasts of the week: Alan Partridge solves the culture wars, grandparenting and more",In this week’s newsletter: Steve Coogan’s presenter turned podcaster re-enters the studio for a third season of From the Oasthouse. Plus: five of the best cross-generational podcastsDon’t get Hear Here delivered to your inbox? Sign up here
In brief: 1974: Scenes from a Year of Crisis; America Fantastica; Heritage – review,"A history of a turbulent 12 months, our efforts to conserve Britain’s past, plus Tim O’Brien’s first novel in more than 20 years"
Up in smokes: Daily Tele’s taxpayer-funded ciggies help Labor minister destroy travel card | The Weekly Beast,"News Corp reporter bought a pink doughnut, a soft drink and tobacco as part of a NSW government endorsed media stunt. Plus: cartoonists go their own wayFollow our Australia news live blog for latest updatesGet ourmorning and afternoon news emails,free appordaily news podcast"
Recognition review – student’s ode to a neglected composer,"Fairfield Halls, LondonIn Talawa theatre company’s show, the story of a modern Black composer is entwined with that of Samuel Coleridge-Taylor"
The slow running revolution: how to move at a ‘sexy’ pace – and really enjoy the race,"Forget personal bests, stopwatches and numbers on the scales. More and more people are taking up running to enjoy time in nature, chatting with friends and stress reduction"
"Five down, two to go: Matildas face moment of truth in high-stakes World Cup semi-final game | Kieran Pender",There are just two peaks remaining for the team to scale their own Everest but every step forward raises the stakes for everyone elseAustralia v England: live updates from the Matildas semi-final gameEvery Matildas story;Golden boot tracker;guide to all 736 players;full WWC coverage
Theresa May backs campaign for Martha’s rule of second medical opinion,Ex-PM says legislation could make it easier for patients’ and families’ concerns to be taken more seriously
England celebrate Euro U21 glory as Trafford’s penalty heroics deny Spain,Final: England 1-0 Spain (Curtis Jones 45)James Trafford saves stoppage-time penalty and rebound
"Clowny and crass, yes – but how boring rock would be if artists like Brandon Flowers kept quiet | Shaad D’Souza",Surely as fans we want to see performers express themselves in concert – however misguided they sometimes might be
"Neighbours, The Newsreader and Cocaine Bear: what’s new to streaming in Australia in September",Plus Delta Goodrem stars as a female pilot in Love is in the Air – and Halle Bailey is utterly radiant in The Little MermaidGet our weekend culture and lifestyle email
Ravneet Gill’s recipe for black grape clafoutis | The sweet spot,This baked French classic tempers the over-the-top sweetness of grapes
"Gilgo Beach serial killer suspect’s arrest ‘elated’ victims’ families, says attorney",Long Island lawyer John Ray says arrest of Rex Heuermann ‘casts a shadow’ over police department’s ‘inadequate’ work
Lord Jim at Home by Dinah Brooke review – a devilishly brilliant hidden gem,"First published in 1973, Brooke’s dark tale of an upper-class coming-of-age is full of the kind of truth only fiction can deliver"
"Tory MP who chided gambling regulator received £8,000 from betting industry","Hospitality and payments Craig Whittaker has accepted include Madonna tickets worth £2,000 from the Betting & Gaming Council"
How has rewilding become such a prickly issue?  | Letters ,Readers respond to a piece by Isabella Tree which advocates abandoning perfection
Jeremy Hunt’s autumn statement tax cuts fuel talk of spring election,Chancellor unveils 2p national insurance cut but thinktanks warn next government faces fresh round of austerityJeremy Hunt announces tax cuts for firms and workersAutumn statement 2023: key points at a glanceWhat it means for people on a range of incomes
"What links pickle, fish, chip and pastry? The Saturday quiz","From Blue Peter to blue-ringed marine creatures, test your knowledge with the Saturday quiz"
Autumn statement: Jeremy Hunt looks to cut UK taxes and ‘turbo-charge growth’ ,Amid less gloomy OBR forecasts the chancellor is expected to take first steps towards cutting personal taxesAutumn statement – latest updates
Welsh government and Cornwall council sign collaboration deal,"Celtic authorities to work together on areas such as holiday homes crisis, offshore wind and language conservation"
"Hunt’s pension ‘pot for life’ idea would be nightmare to establish, experts say",Proposed shake-up is welcomed in principle but doubts are raised about the administrative realitiesAutumn statement 2023: key points at a glanceAutumn statement 2023: what it means for people on a range of incomes
The launch of Meta's Threads proves yet again we are too much in awe of the internet | Van Badham,"For all the talk about being ‘extremely online’, new technology still wields power over usGet our weekend culture and lifestyle email"
"Here’s what we know about Sunak now: where the anti-green extremists lead, he will follow | Polly Toynbee","He should stand firm against the headbangers in his party, eject them if necessary, but he won’t. They speak, he listens"
Ashes diary: Merv Hughes returns politely to scene of famous sledges,"The former Australian quick rang the bell before play on Friday, stirring memories of his feisty visits to Lord’s as a player"
Manchester United 0-3 Newcastle: Carabao Cup  – as it happened,"Newcastle swept aside a dismal Manchester United, who went down 3-0 at Old Trafford for the second time in four days"
Australia’s privacy watchdog to enter talks with Facebook owner over Cambridge Analytica lawsuit,"Federal court orders commissioner and Meta to start mediation to end protracted, costly legal proceedingsFollow our Australia news live blog for the latest updatesGet ourmorning and afternoon news emails,free appordaily news podcast"
Gwyneth Paltrow: is her life a work of performance art?,"How else do you explain the $15,000 vibrator, rectal ozone therapy and vaginal steaming? Perhaps the actor is giving her greatest performance yet ..."
Inquiry to look at allegations of ‘vile’ historical child sexual abuse at Victorian state school,"Daniel Andrews pledges formal apology to victim-survivors who attended Beaumaris primary school in 1960s and 1970sFollow our Australia news live blog for the latest updatesGet ourmorning and afternoon news emails,free appordaily news podcast"
